symbol,trade_direction,trades,wins,losses,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_move,is_original_119,candidate_type,passes_filter,score
ADBE,LONG,1,1,0,1.0,0.0230855246546188,0.0230855246546188,0.0230855246546188,0.0230855246546188,0.0230855246546188,0.0723639946191441,-0.0114815475129255,True,ORIGINAL,False,0.0230855246546188
CRM,LONG,1,1,0,1.0,0.0224903865614249,0.0224903865614249,0.0224903865614249,0.0224903865614249,0.0224903865614249,0.0383343509606548,-0.0199102427413156,True,ORIGINAL,False,0.0224903865614249
NTAP,LONG,1,1,0,1.0,0.0217694813589119,0.0217694813589119,0.0217694813589119,0.0217694813589119,0.0217694813589119,0.0222505839193196,-0.0142216331940056,False,NEW_CANDIDATE,False,0.0217694813589119
WFC,LONG,1,1,0,1.0,0.0216037615961368,0.0216037615961368,0.0216037615961368,0.0216037615961368,0.0216037615961368,0.0400539578234016,-0.0150822955128605,False,NEW_CANDIDATE,False,0.0216037615961368
PSA,LONG,1,1,0,1.0,0.0207677784770294,0.0207677784770294,0.0207677784770294,0.0207677784770294,0.0207677784770294,0.0211485997459148,-0.005582912007378,False,NEW_CANDIDATE,False,0.0207677784770294
DECK,SHORT,1,1,0,1.0,0.0202443917563377,0.0202443917563377,0.0202443917563377,0.0202443917563377,0.0202443917563377,-0.0267328770151917,0.0106912442396314,False,NEW_CANDIDATE,False,0.0202443917563377
HLT,LONG,1,1,0,1.0,0.0196600450542698,0.0196600450542698,0.0196600450542698,0.0196600450542698,0.0196600450542698,0.0366459739847768,-0.0255275980775305,False,NEW_CANDIDATE,False,0.0196600450542698
PRU,LONG,1,1,0,1.0,0.0195316601911161,0.0195316601911161,0.0195316601911161,0.0195316601911161,0.0195316601911161,0.0293411689426712,-0.0157105943152454,False,NEW_CANDIDATE,False,0.0195316601911161
PANW,LONG,1,1,0,1.0,0.0195194267712646,0.0195194267712646,0.0195194267712646,0.0195194267712646,0.0195194267712646,0.0951166314146498,-0.0059865532803243,True,ORIGINAL,False,0.0195194267712646
APTV,LONG,1,1,0,1.0,0.0194896242288278,0.0194896242288278,0.0194896242288278,0.0194896242288278,0.0194896242288278,0.0364887373840563,-0.0188471591690742,False,NEW_CANDIDATE,False,0.0194896242288278
APP,LONG,1,1,0,1.0,0.0191445780689123,0.0191445780689123,0.0191445780689123,0.0191445780689123,0.0191445780689123,0.2319701682554444,-0.0269752940247849,False,NEW_CANDIDATE,False,0.0191445780689123
HPE,LONG,1,1,0,1.0,0.0190722863197552,0.0190722863197552,0.0190722863197552,0.0190722863197552,0.0190722863197552,0.038708195024284,-0.0241268382352942,False,NEW_CANDIDATE,False,0.0190722863197552
